zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-06-01,2023-06-01 08:00:00,343,286,553,138,125,15.6,86.5,0.0,22.3,0,0,0,0,17,0,0.006633,1,8,40,8,1,0,0.8824,-1.0448,0.8397,0,0
2,2023-06-01,2023-06-01 08:00:00,134,114,219,63,56,21.5,78.5,0.0,8.2,0,0,0,0,5,1,0.002914,2,33,22,8,1,0,-0.2595,-0.6019,-0.517,0,0
3,2023-06-01,2023-06-01 08:00:00,336,294,511,129,126,16.5,67.9,0.0,10.4,0,0,0,0,21,1,0.006732,3,74,16,8,1,0,-0.4077,-0.3419,0.7155,0,0
4,2023-06-01,2023-06-01 08:00:00,114,128,224,66,68,26.7,76.4,0.0,20.0,0,0,0,0,4,1,0.002701,4,9,8,8,1,0,1.0396,1.1051,0.0084,0,0
5,2023-06-01,2023-06-01 08:00:00,80,93,155,41,42,18.9,46.3,0.0,27.2,0,0,0,0,4,1,0.001892,5,32,34,8,1,0,0.4228,-0.0295,1.1287,0,0
6,2023-06-01,2023-06-01 08:00:00,410,439,584,173,192,24.8,88.3,0.08,30.3,1,0,0,0,13,0,0.007804,6,8,76,8,1,0,0.57,-1.3878,-0.1166,0,0
7,2023-06-01,2023-06-01 08:00:00,13,10,31,7,6,23.2,43.4,0.0,5.8,0,0,0,0,1,2,0.000379,7,74,58,8,1,0,0.8734,-0.1576,0.6214,0,0
8,2023-06-01,2023-06-01 08:00:00,13,12,32,12,10,16.3,61.9,0.0,22.5,0,0,0,0,0,0,0.000364,0,62,80,8,1,0,-0.1177,-0.0358,-1.4212,0,0
9,2023-06-01,2023-06-01 08:00:00,102,99,197,48,53,30.1,64.0,0.86,28.9,1,0,0,0,6,1,0.002192,1,5,25,8,1,0,-0.5624,-0.345,0.6593,0,0
10,2023-06-01,2023-06-01 08:00:00,310,319,515,132,144,19.7,45.0,9.67,23.7,1,0,0,0,11,4,0.006386,2,48,40,8,1,0,1.1243,0.2851,0.9092,0,0
