zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-03-27,2023-03-27 08:00:00,345,278,536,138,155,9.3,45.8,3.13,12.4,1,0,0,0,11,1,0.006633,1,8,40,8,1,0,1.1486,1.2737,1.6336,0,0
2,2023-03-27,2023-03-27 08:00:00,168,197,226,58,65,9.5,82.9,0.0,24.7,0,0,0,0,6,1,0.002914,2,33,22,8,1,0,0.0386,-0.05,2.4505,0,0
3,2023-03-27,2023-03-27 08:00:00,292,234,529,121,115,12.7,70.5,0.0,25.1,0,0,0,0,8,1,0.006732,3,74,16,8,1,0,0.8426,0.947,-1.5266,0,0
4,2023-03-27,2023-03-27 08:00:00,145,172,231,61,58,12.9,81.7,0.0,9.7,0,0,0,0,9,1,0.002701,4,9,8,8,1,0,-1.1279,-0.7145,-0.8705,0,0
5,2023-03-27,2023-03-27 08:00:00,103,88,150,32,28,0.7,50.0,13.59,30.8,1,0,0,0,5,2,0.001892,5,32,34,8,1,0,-0.6256,0.9081,0.9325,0,0
6,2023-03-27,2023-03-27 08:00:00,379,412,619,167,167,11.0,43.1,0.0,12.6,0,0,0,0,18,0,0.007804,6,8,76,8,1,0,1.1834,0.3045,0.7172,0,0
7,2023-03-27,2023-03-27 08:00:00,10,10,28,10,9,12.2,41.9,0.0,26.3,0,0,0,0,2,2,0.000379,7,74,58,8,1,0,-0.7233,-0.1287,-1.1929,0,0
8,2023-03-27,2023-03-27 08:00:00,21,24,37,7,6,4.6,52.4,0.0,27.1,0,0,0,0,2,1,0.000364,0,62,80,8,1,0,-0.4466,0.9867,0.4857,0,0
9,2023-03-27,2023-03-27 08:00:00,104,119,186,43,38,19.4,40.7,0.0,9.6,0,0,0,0,5,2,0.002192,1,5,25,8,1,0,0.2994,0.8147,-0.9054,0,0
10,2023-03-27,2023-03-27 08:00:00,326,270,539,133,129,15.7,68.3,0.0,13.5,0,0,0,0,6,2,0.006386,2,48,40,8,1,0,-0.5052,0.0248,0.9019,0,0
11,2023-03-27,2023-03-27 08:00:00,236,211,389,102,100,12.7,70.5,0.0,20.7,0,0,0,0,10,0,0.004899,3,32,48,8,1,0,-1.1522,-0.0378,0.1784,0,0
