zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-02-11,2023-02-11 08:00:00,212,252,319,80,71,20.5,69.5,0.0,9.3,0,0,0,0,20,0,0.006633,1,8,40,8,1,1,0.0794,-0.1366,-0.3453,0,0
2,2023-02-11,2023-02-11 08:00:00,84,76,142,39,34,5.5,53.7,0.0,15.5,0,0,0,0,3,4,0.002914,2,33,22,8,1,1,0.2873,-1.0166,0.535,0,0
3,2023-02-11,2023-02-11 08:00:00,211,169,369,92,80,11.8,50.1,0.0,17.0,0,0,0,0,10,1,0.006732,3,74,16,8,1,1,1.2586,1.575,0.77,0,0
4,2023-02-11,2023-02-11 08:00:00,79,93,127,43,44,14.7,85.8,5.31,5.9,1,0,0,0,3,1,0.002701,4,9,8,8,1,1,-1.5957,-0.2746,0.4649,0,0
5,2023-02-11,2023-02-11 08:00:00,79,70,100,26,24,15.9,72.3,2.97,27.0,1,0,0,0,2,2,0.001892,5,32,34,8,1,1,2.4562,-0.8669,-0.5555,0,0
6,2023-02-11,2023-02-11 08:00:00,265,302,396,101,89,6.3,65.2,0.0,29.1,0,0,0,0,15,3,0.007804,6,8,76,8,1,1,-0.112,0.1852,0.1579,0,0
7,2023-02-11,2023-02-11 08:00:00,12,11,16,7,6,12.4,79.5,0.0,20.8,0,0,0,0,0,1,0.000379,7,74,58,8,1,1,-1.3123,-0.3327,0.9202,0,0
8,2023-02-11,2023-02-11 08:00:00,12,11,14,8,8,15.3,63.7,0.0,6.2,0,0,0,0,2,2,0.000364,0,62,80,8,1,1,-0.742,0.0571,-0.1538,0,0
9,2023-02-11,2023-02-11 08:00:00,66,62,117,25,23,5.9,74.0,0.8,30.5,1,0,0,0,0,2,0.002192,1,5,25,8,1,1,-0.0236,0.3795,0.0443,0,0
10,2023-02-11,2023-02-11 08:00:00,218,251,320,75,67,9.2,78.7,4.72,17.1,1,1,0,0,11,1,0.006386,2,48,40,8,1,1,-0.9531,-0.3535,-0.0191,0,0
11,2023-02-11,2023-02-11 08:00:00,169,191,249,66,75,18.2,66.1,0.0,26.0,0,0,0,0,11,0,0.004899,3,32,48,8,1,1,-1.0942,1.0657,0.5345,0,0
12,2023-02-11,2023-02-11 08:00:00,91,92,155,38,42,10.3,62.2,1.78,22.1,1,0,0,0,4,2,0.002814,4,16,53,8,1,1,0.6231,0.9368,-0.5308,0,0
13,2023-02-11,2023-02-11 08:00:00,11,11,18,3,2,14.0,84.3,0.0,27.4,0,0,0,0,1,2,0.000253,5,50,49,8,1,1,-0.63,1.485,-0.6845,0,0
14,2023-02-11,2023-02-11 08:00:00,50,41,61,18,16,1.5,82.7,1.43,33.2,0,1,0,0,1,0,0.001216,6,10,63,8,1,1,2.1317,-0.7111,1.2437,0,0
15,2023-02-11,2023-02-11 08:00:00,51,56,84,27,28,6.8,62.8,0.0,6.2,0,0,0,0,6,5,0.001712,7,20,53,8,1,1,-1.6408,-0.8496,-1.0494,0,0
16,2023-02-11,2023-02-11 08:00:00,224,230,348,90,99,13.9,67.2,0.0,32.6,0,0,0,0,13,0,0.007253,0,75,42,8,1,1,-0.8716,-1.1602,-0.8583,0,0
17,2023-02-11,2023-02-11 08:00:00,100,100,126,35,32,8.0,64.0,3.07,34.1,1,0,0,0,2,3,0.002824,1,78,29,8,1,1,-1.2805,-0.4913,0.1324,0,0
18,2023-02-11,2023-02-11 08:00:00,2,1,4,0,0,8.7,58.4,0.0,31.2,0,0,0,0,0,3,9.4e-05,2,10,34,8,1,1,0.7834,-0.6043,1.374,0,0
19,2023-02-11,2023-02-11 08:00:00,32,31,55,17,19,7.4,61.5,0.0,13.4,0,0,0,0,2,0,0.001037,3,15,34,8,1,1,-0.4466,-2.394,0.6978,0,0
20,2023-02-11,2023-02-11 08:00:00,33,28,56,2,2,11.8,46.2,3.09,29.9,0,1,0,0,1,0,0.001046,4,53,40,8,1,1,1.0832,-0.4073,0.175,0,0
21,2023-02-11,2023-02-11 08:00:00,207,244,319,71,64,12.9,89.3,2.88,27.1,0,1,0,0,17,1,0.006254,5,51,25,8,1,1,0.3716,0.9593,-0.194,0,0
