zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-04-10,2023-04-10 08:00:00,345,368,534,133,138,28.7,61.2,0.0,29.4,0,0,0,0,12,1,0.006633,1,8,40,8,1,0,-0.4634,-0.3421,0.439,0,0
2,2023-04-10,2023-04-10 08:00:00,152,130,232,62,65,20.5,49.9,0.0,33.9,0,0,0,0,6,1,0.002914,2,33,22,8,1,0,-1.7959,-0.0256,1.2619,0,0
3,2023-04-10,2023-04-10 08:00:00,331,337,529,124,110,22.1,42.5,0.0,7.8,0,0,0,0,12,4,0.006732,3,74,16,8,1,0,-0.3748,-0.0382,0.0847,0,0
4,2023-04-10,2023-04-10 08:00:00,132,155,221,58,51,25.7,41.9,0.0,12.3,0,0,0,0,9,1,0.002701,4,9,8,8,1,0,0.6412,-1.0254,-0.0233,0,0
5,2023-04-10,2023-04-10 08:00:00,106,118,140,30,31,23.0,41.5,0.0,28.6,0,0,0,0,1,1,0.001892,5,32,34,8,1,0,-0.561,-0.7943,-0.4764,0,0
6,2023-04-10,2023-04-10 08:00:00,373,347,590,147,131,14.3,87.2,0.0,5.9,0,0,0,0,16,0,0.007804,6,8,76,8,1,0,-0.6589,-0.184,-0.1491,0,0
7,2023-04-10,2023-04-10 08:00:00,13,13,40,6,6,21.9,87.0,0.0,11.3,0,0,0,0,0,2,0.000379,7,74,58,8,1,0,0.8934,0.4536,-0.4658,0,0
8,2023-04-10,2023-04-10 08:00:00,18,16,38,8,7,11.3,42.8,0.0,11.9,0,0,0,0,0,1,0.000364,0,62,80,8,1,0,-1.0383,0.1298,-0.8786,0,0
9,2023-04-10,2023-04-10 08:00:00,102,87,160,51,51,18.7,46.1,0.0,15.7,0,0,0,0,4,2,0.002192,1,5,25,8,1,0,0.8089,-0.2026,0.7416,0,0
10,2023-04-10,2023-04-10 08:00:00,320,262,483,146,142,16.4,73.5,0.0,25.8,0,0,0,0,14,2,0.006386,2,48,40,8,1,0,0.8461,-0.4899,0.5951,0,0
11,2023-04-10,2023-04-10 08:00:00,239,210,387,112,109,23.9,78.4,0.0,30.0,0,0,0,0,11,1,0.004899,3,32,48,8,1,0,-0.5566,0.6952,0.969,0,0
