zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-06-02,2023-06-02 08:00:00,350,321,539,134,119,32.4,88.3,1.45,11.2,1,0,0,0,19,1,0.006633,1,8,40,8,1,0,-0.9995,-0.5101,-0.805,0,0
2,2023-06-02,2023-06-02 08:00:00,152,177,236,62,68,20.4,89.6,6.18,21.5,1,0,0,0,6,3,0.002914,2,33,22,8,1,0,-1.4439,-0.6662,1.7356,0,0
3,2023-06-02,2023-06-02 08:00:00,341,307,587,143,140,22.6,58.6,7.34,10.4,1,0,0,0,7,0,0.006732,3,74,16,8,1,0,0.2084,-0.4959,0.426,0,0
4,2023-06-02,2023-06-02 08:00:00,119,133,214,53,52,17.1,87.5,0.0,29.4,0,0,0,0,5,1,0.002701,4,9,8,8,1,0,0.5407,0.2003,-0.2457,0,0
5,2023-06-02,2023-06-02 08:00:00,93,74,157,45,42,25.7,88.2,0.0,34.2,0,0,0,0,2,2,0.001892,5,32,34,8,1,0,1.0372,-0.6525,0.494,0,0
6,2023-06-02,2023-06-02 08:00:00,385,377,597,139,159,27.8,78.8,1.75,17.6,0,1,0,0,20,2,0.007804,6,8,76,8,1,0,0.011,0.2872,0.3756,0,0
7,2023-06-02,2023-06-02 08:00:00,20,23,27,11,11,16.1,49.9,0.0,12.5,0,0,0,0,1,1,0.000379,7,74,58,8,1,0,-1.6432,-0.0795,1.0727,0,0
8,2023-06-02,2023-06-02 08:00:00,17,16,30,7,6,29.9,47.9,0.0,17.0,0,0,0,0,1,1,0.000364,0,62,80,8,1,0,-1.8336,-0.2104,0.8031,0,0
9,2023-06-02,2023-06-02 08:00:00,115,122,173,43,40,23.1,45.3,0.0,6.0,0,0,0,0,6,0,0.002192,1,5,25,8,1,0,-0.5691,-0.7053,-0.3371,0,0
10,2023-06-02,2023-06-02 08:00:00,347,351,539,131,125,26.8,75.0,3.32,17.3,1,0,0,0,12,3,0.006386,2,48,40,8,1,0,-0.4556,-0.9841,0.9655,0,0
11,2023-06-02,2023-06-02 08:00:00,233,279,406,90,80,17.5,72.3,3.67,26.0,1,0,0,0,9,2,0.004899,3,32,48,8,1,0,0.0773,-0.6332,-0.7917,0,0
12,2023-06-02,2023-06-02 08:00:00,141,155,226,49,55,15.8,55.8,0.0,21.0,0,0,0,0,8,2,0.002814,4,16,53,8,1,0,0.0356,-0.2851,-0.5048,0,0
13,2023-06-02,2023-06-02 08:00:00,9,9,20,4,4,20.1,86.4,0.0,11.1,0,0,0,0,3,1,0.000253,5,50,49,8,1,0,0.1472,1.4852,0.307,0,0
14,2023-06-02,2023-06-02 08:00:00,63,55,94,19,20,8.6,77.0,3.63,11.4,1,0,0,0,2,1,0.001216,6,10,63,8,1,0,0.1029,-2.506,0.1931,0,0
15,2023-06-02,2023-06-02 08:00:00,89,105,126,34,36,22.0,56.1,0.0,24.9,0,0,0,0,3,2,0.001712,7,20,53,8,1,0,-2.6108,-0.7346,-0.1164,0,0
