zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-05-06,2023-05-06 08:00:00,209,237,361,91,88,28.3,68.7,0.0,23.8,0,0,0,0,16,0,0.006633,1,8,40,8,1,1,0.454,0.6269,0.2311,0,0
2,2023-05-06,2023-05-06 08:00:00,85,87,152,37,36,23.5,75.1,0.0,13.8,0,0,0,0,4,0,0.002914,2,33,22,8,1,1,-1.7524,0.0382,0.1123,0,0
3,2023-05-06,2023-05-06 08:00:00,217,199,369,99,104,19.7,54.3,0.0,23.5,0,0,0,0,14,1,0.006732,3,74,16,8,1,1,1.2418,1.1469,0.2673,0,0
4,2023-05-06,2023-05-06 08:00:00,77,70,130,38,38,17.8,86.9,0.32,32.5,1,0,0,0,6,1,0.002701,4,9,8,8,1,1,0.8067,-0.3395,-0.4719,0,0
5,2023-05-06,2023-05-06 08:00:00,78,81,88,23,20,20.2,72.4,0.0,18.5,0,0,0,0,5,0,0.001892,5,32,34,8,1,1,-0.9117,0.0819,-0.3295,0,0
6,2023-05-06,2023-05-06 08:00:00,230,189,419,97,97,24.0,41.3,0.0,23.2,0,0,0,0,17,2,0.007804,6,8,76,8,1,1,0.332,-0.7925,-0.9965,0,0
7,2023-05-06,2023-05-06 08:00:00,15,16,20,3,3,18.5,71.1,0.0,31.8,0,0,0,0,0,2,0.000379,7,74,58,8,1,1,0.5845,-0.3332,-1.4508,0,0
8,2023-05-06,2023-05-06 08:00:00,13,12,16,0,0,22.9,60.2,0.0,17.6,0,0,0,0,0,0,0.000364,0,62,80,8,1,1,-0.4904,0.203,1.6252,0,0
9,2023-05-06,2023-05-06 08:00:00,58,58,103,22,21,22.6,72.2,4.76,16.5,1,0,0,0,10,0,0.002192,1,5,25,8,1,1,-0.4779,-1.7357,0.182,0,0
10,2023-05-06,2023-05-06 08:00:00,216,181,324,86,94,20.9,84.3,0.74,30.7,1,0,0,0,14,2,0.006386,2,48,40,8,1,1,-0.3331,-0.8012,-0.0702,0,0
11,2023-05-06,2023-05-06 08:00:00,156,163,249,60,58,17.0,85.8,4.43,27.7,1,0,0,0,13,2,0.004899,3,32,48,8,1,1,-0.1356,-0.7642,-0.2549,0,0
12,2023-05-06,2023-05-06 08:00:00,86,93,141,32,27,16.7,67.6,1.94,26.6,1,0,0,0,6,2,0.002814,4,16,53,8,1,1,-0.6402,-0.8824,-0.8285,0,0
13,2023-05-06,2023-05-06 08:00:00,7,7,12,1,0,20.2,66.7,0.0,19.5,0,0,0,0,2,4,0.000253,5,50,49,8,1,1,1.1906,0.5872,-0.8437,0,0
14,2023-05-06,2023-05-06 08:00:00,39,45,72,15,13,9.5,45.4,2.97,32.5,1,0,0,0,1,0,0.001216,6,10,63,8,1,1,-1.0269,1.7924,0.2142,0,0
15,2023-05-06,2023-05-06 08:00:00,48,53,86,31,28,23.6,50.4,2.46,18.6,1,0,0,0,6,0,0.001712,7,20,53,8,1,1,-1.0856,-0.7679,-0.1562,0,0
16,2023-05-06,2023-05-06 08:00:00,219,225,396,110,125,22.9,84.8,0.0,24.2,0,0,0,0,10,1,0.007253,0,75,42,8,1,1,0.3801,0.4385,0.3745,0,0
17,2023-05-06,2023-05-06 08:00:00,90,73,135,27,28,23.1,77.1,0.0,6.5,0,0,0,0,3,1,0.002824,1,78,29,8,1,1,-0.9092,-0.1024,1.5238,0,0
18,2023-05-06,2023-05-06 08:00:00,3,3,9,0,0,23.0,81.3,0.0,31.0,0,0,0,0,0,3,9.4e-05,2,10,34,8,1,1,-1.5482,-0.7312,-0.4691,0,0
19,2023-05-06,2023-05-06 08:00:00,34,30,51,14,15,25.6,89.2,0.0,27.3,0,0,0,0,3,4,0.001037,3,15,34,8,1,1,-0.4227,-0.5514,-0.6245,0,0
20,2023-05-06,2023-05-06 08:00:00,38,43,53,13,14,21.5,59.4,0.27,18.9,1,0,0,0,1,1,0.001046,4,53,40,8,1,1,-0.9422,-0.3189,0.252,0,0
21,2023-05-06,2023-05-06 08:00:00,176,160,328,88,99,22.1,46.9,0.0,12.9,0,0,0,0,10,2,0.006254,5,51,25,8,1,1,-0.0176,0.2683,-0.9099,0,0
22,2023-05-06,2023-05-06 08:00:00,145,119,214,54,59,24.7,72.5,0.0,8.3,0,0,0,0,10,1,0.004519,6,50,31,8,1,1,-2.3687,-0.1072,-0.2017,0,0
23,2023-05-06,2023-05-06 08:00:00,55,63,91,11,12,18.4,84.8,0.0,13.4,0,0,0,0,4,0,0.001695,7,14,26,8,1,1,1.436,-0.4866,-1.1053,0,0
24,2023-05-06,2023-05-06 08:00:00,0,0,1,3,2,17.2,40.2,0.0,8.5,0,0,0,0,1,1,3.6e-05,0,36,25,8,1,1,-1.2085,-0.913,-0.2802,0,0
