zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-05-25,2023-05-25 08:00:00,332,345,486,132,130,23.7,57.3,0.12,30.7,1,0,0,0,17,1,0.006633,1,8,40,8,1,0,-2.0044,-0.2697,-0.4658,0,0
2,2023-05-25,2023-05-25 08:00:00,145,154,217,55,59,17.0,78.6,1.72,31.7,1,0,0,0,4,0,0.002914,2,33,22,8,1,0,0.1093,-0.3351,-1.7313,0,0
3,2023-05-25,2023-05-25 08:00:00,322,366,558,142,143,23.9,42.7,1.16,10.8,1,0,0,0,10,2,0.006732,3,74,16,8,1,0,0.9139,0.7243,0.2081,0,0
4,2023-05-25,2023-05-25 08:00:00,140,129,221,63,55,25.7,77.4,0.0,6.9,0,0,0,0,3,0,0.002701,4,9,8,8,1,0,-0.643,0.0355,0.405,0,0
5,2023-05-25,2023-05-25 08:00:00,83,72,158,26,27,13.5,60.1,7.91,19.1,1,0,0,0,5,3,0.001892,5,32,34,8,1,0,0.2564,1.4912,0.3677,0,0
6,2023-05-25,2023-05-25 08:00:00,380,348,610,149,139,13.4,76.0,0.0,6.7,0,0,0,0,18,3,0.007804,6,8,76,8,1,0,1.276,0.1971,-0.3206,0,0
7,2023-05-25,2023-05-25 08:00:00,15,16,27,4,4,8.9,47.3,7.96,18.1,1,0,0,0,1,2,0.000379,7,74,58,8,1,0,-1.0466,-0.0721,-0.5935,0,0
8,2023-05-25,2023-05-25 08:00:00,14,14,34,7,6,19.3,53.7,0.0,21.8,0,0,0,0,1,1,0.000364,0,62,80,8,1,0,-0.8407,0.0919,1.4771,0,0
9,2023-05-25,2023-05-25 08:00:00,107,102,162,44,47,23.1,45.8,0.0,26.6,0,0,0,0,1,0,0.002192,1,5,25,8,1,0,-1.2905,1.2343,-0.2109,0,0
10,2023-05-25,2023-05-25 08:00:00,321,346,482,113,128,20.8,44.4,0.18,21.4,1,0,0,0,16,0,0.006386,2,48,40,8,1,0,-0.1759,1.084,0.9344,0,0
11,2023-05-25,2023-05-25 08:00:00,238,238,366,91,78,13.0,78.3,3.67,31.9,1,0,0,0,12,3,0.004899,3,32,48,8,1,0,0.7471,1.7406,-0.5313,0,0
12,2023-05-25,2023-05-25 08:00:00,137,157,217,68,68,19.7,56.7,0.0,5.3,0,0,0,0,6,0,0.002814,4,16,53,8,1,0,0.9999,-0.8192,1.0102,0,0
13,2023-05-25,2023-05-25 08:00:00,13,13,26,4,4,24.0,79.9,0.0,28.9,0,0,0,0,0,1,0.000253,5,50,49,8,1,0,-1.8641,-0.4238,-0.014,0,0
14,2023-05-25,2023-05-25 08:00:00,72,58,99,19,19,23.0,63.0,0.07,28.5,1,1,0,0,5,0,0.001216,6,10,63,8,1,0,-0.3824,-0.107,0.2936,0,0
15,2023-05-25,2023-05-25 08:00:00,70,59,155,25,25,15.3,79.8,0.0,22.7,0,0,0,0,1,0,0.001712,7,20,53,8,1,0,-1.1566,-1.0279,0.6486,0,0
16,2023-05-25,2023-05-25 08:00:00,384,405,535,113,128,16.8,88.6,0.79,11.1,1,0,0,0,7,3,0.007253,0,75,42,8,1,0,-0.3267,0.5344,-0.3911,0,0
17,2023-05-25,2023-05-25 08:00:00,145,136,223,54,49,17.0,72.9,0.0,24.8,0,0,0,0,4,0,0.002824,1,78,29,8,1,0,-0.3536,0.4328,-0.2665,0,0
18,2023-05-25,2023-05-25 08:00:00,4,4,10,2,1,16.0,47.1,0.0,5.1,0,0,0,0,1,2,9.4e-05,2,10,34,8,1,0,0.0165,0.7235,0.5102,0,0
19,2023-05-25,2023-05-25 08:00:00,41,39,86,17,15,24.1,51.6,0.0,23.3,0,0,0,0,0,1,0.001037,3,15,34,8,1,0,0.2478,0.1085,-1.9407,0,0
20,2023-05-25,2023-05-25 08:00:00,65,74,77,25,24,12.4,60.2,1.38,13.7,1,0,0,0,4,1,0.001046,4,53,40,8,1,0,0.651,-1.1445,1.654,0,0
21,2023-05-25,2023-05-25 08:00:00,336,278,498,131,123,11.0,83.2,0.0,16.6,0,0,0,0,14,2,0.006254,5,51,25,8,1,0,-1.1759,0.6679,0.3502,0,0
22,2023-05-25,2023-05-25 08:00:00,211,213,357,83,93,26.4,42.6,0.0,25.7,0,0,0,0,10,2,0.004519,6,50,31,8,1,0,-0.8561,0.0491,-0.1689,0,0
23,2023-05-25,2023-05-25 08:00:00,103,84,125,33,31,15.3,72.7,0.0,18.2,0,0,0,0,7,1,0.001695,7,14,26,8,1,0,0.8684,0.4534,1.0448,0,0
24,2023-05-25,2023-05-25 08:00:00,2,1,1,2,1,20.6,49.8,0.0,30.0,0,0,0,0,1,3,3.6e-05,0,36,25,8,1,0,-0.2923,1.5583,-0.9987,0,0
25,2023-05-25,2023-05-25 08:00:00,16,16,44,5,5,13.9,54.9,0.0,12.8,0,0,0,0,0,2,0.000437,1,53,39,8,1,0,0.7761,-0.155,0.5495,0,0
26,2023-05-25,2023-05-25 08:00:00,102,113,154,40,35,18.9,77.5,0.0,11.4,0,0,0,0,2,0,0.001895,2,33,46,8,1,0,0.6541,0.1983,-1.3441,0,0
27,2023-05-25,2023-05-25 08:00:00,192,211,336,74,78,16.4,84.7,0.0,9.3,0,0,0,0,8,1,0.004045,3,34,9,8,1,0,0.1137,0.5387,1.0013,0,0
28,2023-05-25,2023-05-25 08:00:00,17,18,34,6,6,16.6,58.6,0.0,16.9,0,0,0,0,0,0,0.000366,4,56,39,8,1,0,0.4691,1.1892,0.3821,0,0
29,2023-05-25,2023-05-25 08:00:00,35,31,54,9,8,31.3,57.8,3.01,6.7,1,0,0,0,1,2,0.000559,5,32,77,8,1,0,-1.4208,-1.0096,0.5738,0,0
30,2023-05-25,2023-05-25 08:00:00,73,68,86,27,26,16.9,70.9,0.0,26.2,0,0,0,0,4,0,0.001103,6,32,68,8,1,0,-0.0001,-0.816,-0.4989,0,0
31,2023-05-25,2023-05-25 08:00:00,274,243,375,101,90,19.1,52.9,0.0,27.2,0,0,0,0,8,0,0.005001,7,63,23,8,1,0,0.7541,0.2919,-0.5838,0,0
32,2023-05-25,2023-05-25 08:00:00,8,9,17,2,2,22.0,53.3,0.0,16.5,0,0,0,0,2,3,0.000171,0,22,36,8,1,0,0.4761,0.2732,0.1083,0,0
33,2023-05-25,2023-05-25 08:00:00,91,106,140,50,44,25.6,85.4,0.0,29.0,0,0,0,0,3,1,0.002071,1,73,38,8,1,0,-0.1619,-0.2736,-0.0333,0,0
34,2023-05-25,2023-05-25 08:00:00,506,503,821,202,172,17.1,67.0,0.0,18.4,0,0,0,0,12,1,0.010511,2,59,79,8,1,0,0.5269,-0.0301,1.8976,0,0
35,2023-05-25,2023-05-25 08:00:00,424,464,587,174,155,10.1,41.8,0.0,32.7,0,0,0,0,22,1,0.007928,3,51,33,8,1,0,0.2072,-1.0238,0.4205,0,0
36,2023-05-25,2023-05-25 08:00:00,102,86,162,39,36,22.5,53.0,0.0,18.9,0,0,0,0,5,1,0.002242,4,70,68,8,1,0,0.6428,0.2025,1.1043,0,0
37,2023-05-25,2023-05-25 08:00:00,530,487,879,198,212,20.9,50.1,0.0,26.6,0,0,0,0,18,1,0.010246,5,11,19,8,1,0,-0.6644,-0.227,0.8122,0,0
38,2023-05-25,2023-05-25 08:00:00,251,252,351,96,106,19.1,64.5,0.0,34.3,0,0,0,0,6,2,0.004397,6,25,59,8,1,0,-1.9099,-0.2737,0.8484,0,0
39,2023-05-25,2023-05-25 08:00:00,27,27,55,9,7,15.4,43.0,0.0,5.9,0,0,0,0,0,0,0.000659,7,54,53,8,1,0,0.7873,0.0107,0.2112,0,0
40,2023-05-25,2023-05-25 08:00:00,961,874,1468,357,387,26.0,68.3,5.09,6.3,1,0,0,0,32,0,0.018691,0,72,37,8,1,0,0.8676,-0.6479,0.3703,0,0
41,2023-05-25,2023-05-25 08:00:00,374,415,580,156,137,21.5,51.1,0.0,21.0,0,0,0,0,12,2,0.007144,1,6,19,8,1,0,0.3399,-1.3793,0.1882,0,0
42,2023-05-25,2023-05-25 08:00:00,415,345,634,166,143,23.2,61.7,0.0,30.0,0,0,0,0,11,0,0.008165,2,39,48,8,1,0,0.6344,0.2351,-0.2215,0,0
43,2023-05-25,2023-05-25 08:00:00,536,613,860,216,221,22.0,41.0,0.0,25.0,0,0,0,0,19,0,0.010707,3,42,60,8,1,0,0.0487,0.6679,-0.9865,0,0
44,2023-05-25,2023-05-25 08:00:00,958,1109,1481,371,355,23.1,84.7,6.22,33.2,1,0,0,0,33,2,0.019027,4,63,5,8,1,0,0.8541,0.5902,0.1147,0,0
45,2023-05-25,2023-05-25 08:00:00,644,631,1109,267,248,14.7,52.9,0.0,12.3,0,0,0,0,26,2,0.013462,5,69,27,8,1,0,0.7909,-1.632,0.4862,0,0
46,2023-05-25,2023-05-25 08:00:00,705,690,1086,262,271,21.4,63.1,0.0,22.1,0,0,0,0,35,1,0.013908,6,18,43,8,1,0,-0.2339,-0.012,-0.2208,0,0
47,2023-05-25,2023-05-25 08:00:00,466,534,680,170,180,22.3,55.5,0.0,19.4,0,0,0,0,22,2,0.008501,7,30,24,8,1,0,0.0788,-0.4406,-0.5103,0,0
48,2023-05-25,2023-05-25 08:00:00,1062,999,1675,401,427,11.8,45.8,1.24,11.9,1,0,0,0,48,1,0.020576,0,25,74,8,1,0,-0.0259,-1.2213,-1.2031,0,0
49,2023-05-25,2023-05-25 08:00:00,501,493,787,181,186,18.4,76.5,0.0,11.6,0,0,0,0,24,1,0.010032,1,5,46,8,1,0,-0.5253,0.1442,0.8185,0,0
50,2023-05-25,2023-05-25 08:00:00,243,246,437,106,94,6.0,82.5,4.19,33.9,1,0,0,0,9,1,0.005268,2,7,19,8,1,0,-0.7088,-0.2833,-0.8263,0,0
51,2023-05-25,2023-05-25 08:00:00,950,970,1578,399,380,22.9,46.0,0.0,16.8,0,0,0,0,46,0,0.019629,3,44,35,8,1,0,0.2989,0.0943,0.0068,0,0
52,2023-05-25,2023-05-25 08:00:00,414,408,674,176,191,20.5,49.9,0.0,9.5,0,0,0,0,21,0,0.008889,4,35,77,8,1,0,-0.5394,-0.6813,1.277,0,0
53,2023-05-25,2023-05-25 08:00:00,1076,1251,1681,426,388,19.7,51.5,0.47,18.2,1,0,0,0,41,2,0.021033,5,15,67,8,1,0,0.2786,-0.9376,-0.5739,0,0
54,2023-05-25,2023-05-25 08:00:00,253,298,387,89,91,6.0,85.6,0.0,19.7,0,0,0,0,6,2,0.004801,6,73,21,8,1,0,1.9788,-0.3521,0.2645,0,0
55,2023-05-25,2023-05-25 08:00:00,1058,1037,1709,428,385,18.8,67.8,0.0,27.0,0,0,0,0,39,2,0.021139,7,65,75,8,1,0,-0.0876,1.1744,-0.8706,0,0
56,2023-05-25,2023-05-25 08:00:00,609,705,964,229,198,26.8,63.4,2.08,17.0,1,0,0,0,33,1,0.011748,0,38,72,8,1,0,0.3817,0.5751,-1.0334,0,0
57,2023-05-25,2023-05-25 08:00:00,1022,956,1592,445,422,21.5,51.1,1.67,26.7,1,0,0,0,41,2,0.02046,1,32,74,8,1,0,-0.8316,0.1347,0.6513,0,0
58,2023-05-25,2023-05-25 08:00:00,1598,1664,2498,641,602,12.8,53.6,0.0,16.5,0,0,0,0,70,1,0.031197,2,44,56,8,1,0,-1.3259,0.3195,-0.5904,0,0
