zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-04-20,2023-04-20 08:00:00,343,411,514,136,128,16.2,68.4,0.0,11.0,0,0,0,0,15,1,0.006633,1,8,40,8,1,0,-1.0602,-0.8493,-0.0408,0,0
2,2023-04-20,2023-04-20 08:00:00,129,127,214,54,48,18.4,76.9,0.0,31.8,0,0,0,0,4,0,0.002914,2,33,22,8,1,0,0.5771,-1.28,-0.8271,0,0
3,2023-04-20,2023-04-20 08:00:00,321,341,499,140,143,22.5,74.1,0.0,28.0,0,0,0,0,9,3,0.006732,3,74,16,8,1,0,-0.1859,0.5277,0.5221,0,0
4,2023-04-20,2023-04-20 08:00:00,136,148,210,48,41,28.6,69.7,0.25,9.8,1,0,0,0,6,1,0.002701,4,9,8,8,1,0,-0.5092,-0.9077,1.4944,0,0
5,2023-04-20,2023-04-20 08:00:00,81,89,141,38,43,9.9,50.5,0.0,17.9,0,0,0,0,3,0,0.001892,5,32,34,8,1,0,1.0361,0.37,-0.0454,0,0
6,2023-04-20,2023-04-20 08:00:00,381,347,612,155,169,15.6,74.8,0.0,28.5,0,0,0,0,21,1,0.007804,6,8,76,8,1,0,-1.0229,0.3752,1.334,0,0
7,2023-04-20,2023-04-20 08:00:00,20,17,31,8,8,27.1,63.2,3.56,7.3,1,0,0,0,3,0,0.000379,7,74,58,8,1,0,-0.1466,-1.2362,1.0335,0,0
8,2023-04-20,2023-04-20 08:00:00,16,17,26,11,9,24.6,75.5,0.0,16.8,0,0,0,0,1,2,0.000364,0,62,80,8,1,0,0.0168,-0.1319,0.0118,0,0
9,2023-04-20,2023-04-20 08:00:00,128,152,165,55,55,27.1,66.9,0.0,7.9,0,0,0,0,4,2,0.002192,1,5,25,8,1,0,-0.2732,-1.1965,-0.0886,0,0
10,2023-04-20,2023-04-20 08:00:00,311,269,538,118,128,25.3,48.0,0.0,28.3,0,0,0,0,15,0,0.006386,2,48,40,8,1,0,-1.6247,0.2889,0.31,0,0
11,2023-04-20,2023-04-20 08:00:00,242,211,380,104,113,28.4,78.0,0.66,28.1,1,0,0,0,11,0,0.004899,3,32,48,8,1,0,-0.7677,0.2874,1.0655,0,0
12,2023-04-20,2023-04-20 08:00:00,150,173,247,75,85,22.8,51.2,0.0,31.8,0,0,0,0,3,0,0.002814,4,16,53,8,1,0,-0.5012,1.0589,0.3687,0,0
13,2023-04-20,2023-04-20 08:00:00,15,17,23,7,7,16.6,47.8,0.0,13.0,0,0,0,0,1,3,0.000253,5,50,49,8,1,0,0.9293,-0.6176,-0.4545,0,0
